Taluka,College Name,Name Data
Malkapur,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",
Mehkar,"Bhiwsan Patil Shinde Shikshan Gramin Vikas & Bahu Sanstha,Shinde Polytechnic, Anjani Bk Tal: Mehkar, Dist: Buldhana",
Murtijapur,"Sakshi Shikshan Krida Prasarak & Bahu Sanstha's Dr. Rajesh Ramdasji Kambe Polytechnic, Turkhed, Tal: Murtizapur Dist: Akola",
Amravati,"Indira Bahuuddeshiya Shikshan Sanstha's Dr. Rajendra Gode Polytechnic,Ghatkhed, Amravati",
Daryapur,"Shri Dadasaheb Gavai Charitable Trust's Vikramshila Polytechnic,Darapur, Tal. Daryapur, Dist. Amravati",
Amravati,"Nav Vidya Niketan Shiksha Santha Nav Vidya Niketan Institute of Technology,Mardi Road, Amravati",
Akola,"Bhonslas Education Trust's Bhonsla Polytechnic, Akola- Washim Highway, Tah. & Dist. Akola",
Chikhli,"Paramhans Ramkrishna Mouni Baba Shikshan Sanstha's Anuradha Polytechnic, Anuradha Nagar,Chikhali, Buldhana",
Akola,"Bhonsla College of Engineering & Reasearch, Akola",
Washim,"Vidarbha Institute of Pharmacy, Washim",
Shegaon,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",
Amravati,"Harikisan Maloo Institute Of Management & Technology, Amravati",
Washim,"Pratap Institute of Management & Technology, Washim.",
Shegaon,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",
Buldana,"Rajarshi Shahu Polytechnic, Buldhana.",
Risod,"MUP's College of Pharmacy (B. Pharm), Degaon Tq. Risod Dist. Washim",
Buldana,"Rajarshi Shahu College of Pharmacy, Buldhana",
Balapur,"Manav School of Business Management, Vyala Tal. Balapur Dist. Akola",
Balapur,"Manav School of Architecture, Vyala Tal. Balapur, Dist Akola",
Balapur,Manav School of Polytechnic,
Balapur,Manav School of Engineering & Technology,
Amravati,"Kirti Polytechnic, Amravati.",
Achalpur,"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur",
Lonar,"Dr.R. N. Lahoti Institute of Pharmacy, Sultanpur",
Sindkhed Raja,"Gawande College of Phamracy, Sakhar Kheda",
Karanja,"Kamalprakash Pharmacy College & Research Centre, Kherda",
Buldana,"Laddhad College of Pharmacy, Yelgaon, Buldhana",
Amravati,"P. R. Pote Patil College of Pharmacy, Amravati",
Aurangabad,"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",
Osmanabad,"Dr. Babasaheb Ambedkar Marathwada University, Sub Centre, Osmanabad",
Nanded,"School of Commerce & Management Science, SRTM University Nanded MAIN CAMPUS",
Latur,"School of Management, Swami Ramanand Teerth Marathwada University, Sub Centre, Peth, Latur",
Osmanabad,"Dr. Babasaheb Ambedkar Marathwada Vidyapeeth,(Aurangabad) Sub Section - Osmanabad",
Nanded,"School of Computational Sciences SRTM University, Nanded MAIN CAMPUS",
Aurangabad,"Government College of Engineering, Aurangabad",
Aurangabad,"Government College of Pharmacy, Aurangabad",
Aurangabad,"Government Polytechnic, Aurangabad",
Bid,"Government Polytechnic, Beed",
Hingoli,"Government Polytechnic, Hingoli",
Ambad,"Government Polytechnic, Ambad",
Jalna,"Government Polytechnic, Jalna",
Latur,"Puranmal Lahoti Government Polytechnic, Latur",
Latur,"Government Residential Women's Polytechnic, Latur",
Nanded,"Government Polytechnic, Nanded",
Osmanabad,"Government Polytechnic, Osmanabad",
Jintur,"Government Polytechnic, Jintur",
Nanded,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",
Aurangabad,"University Department of Chemical Technology, Aurangabad",
Aurangabad,Maulana Azad Education Society's Kamla Nehru Polytechnic(Pharmacy) Aurangabad,
Georai,"Jai Bhavani Shikshan Prasarak Mandal's Institute Of Pharmacy, Gadhi Georai",
Nilanga,"Maharashtra Shikshan Samiti's Maharashtra Polytechnic (D. Pharmacy) Institute, Nilanga, Latur",
Latur,"Panchakshri Shivacharya Trust's Channa Basweshwar Institute Of D. Pharmacy, Latur",
Nanded,"Shri Sharda Bhavan Education Society's Nanded Pharmacy College (Polytechnic), Nanded",
Osmanabad,"Adarsh Shikshan Prasarak Mandal's Diploma In Pharmacy Institute, Osmanabad",
Parbhani,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute Of Pharmacy, Parbhani",
Nanded,"School of Pharmacy,SRTM University, Nanded MAIN CAMPUS",
Aurangabad,"Department of Computer Science and IT, Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",
Aurangabad,"National Institute of Electronics & Information Technology(NIELIT), Aurangabad.",
Aurangabad,"Mahatma Gandhi Mission's Institute of Management, Aurangabad",
Aurangabad,"Rajarshi Shahu Institute of Management, Aurangabad",
Aurangabad,"Maulana Azad Edu. Trust's Millenium Institute of Management, Aurangabad",
Bid,"Aditya College of MBA, Beed",
Aurangabad,"Lokvikas Educational & Charitable Trust's Marathwada Institute of Management and Research, Aurangabad",
Aurangabad,"Shreeyash Prathishthan's Shree Yash Institute of Management, Aurangabad",
Osmanabad,Adarsh Shikshan Prasarak Mandal's K.T. Patil College of MBA Osmanabad,
Aurangabad,"Shri. Bhaskaracharya Pratishthan, Chate Business School, Aurangabad",
Badnapur,"Nirmal Krida and Samaj Prabhodhan Trust, Institute of Management, Badnapur",
Aurangabad,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",
Aurangabad,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",
Aurangabad,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",
Aurangabad,"Deogiri Institute of Engineering and Management Studies, Aurangabad",
Nanded,"Sahyog Sevabhavi Santha's Indira Institute of Management Science, Nanded",
Nanded,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",
Nanded,"Jai Malhar Sevabhavi Shikshan Va Gramvikas Sanshta, Nandigram Institute of Management Studies, Pangri, Nanded",
Basmath,"Shree Bhairavnath Nisarg Mandal.'S Diploma In Pharmacy Institute, Hatta, Tal.Basmat",
Nanded,"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded",
Parbhani,"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.",
Latur,"Shri Mahatma Basweshwar Edu. Society Institute of Computer Education, Latur",
Aurangabad,"Maratha Education Society's Institute of Management studies & Information Technology, Aurangabad",
Udgir,"S.V.S.P. Mandal's Swami Vivekanand Institute of Technology and Mangement ,Udgir",
Aurangabad,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",
Nanded,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",
Nilanga,"Maharashtra College of Engineering, Nilanga",
Latur,"M.S. Bidve Engineering College, Latur",
Osmanabad,"Terna Public Charitable Trust's College of Engineering, Osmanabad",
Tuljapur,"Shree Tuljabhavani College of Engineering, Tuljapur",
Aurangabad,"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",
Ambejogai,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",
Aurangabad,"Peoples Education Society's College of Engineering, Aurangabad",
Aurangabad,HI TECH INSTITUTE OF TECHNOLOGY,
Bid,"Aditya Engineering College , Beed",
Parli,"Nagnathappa Halge Engineering College, Parli, Beed",
Jalna,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",
Aurangabad,"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",
Aurangabad,"Shri Dhaneshwari Manav Vikas Mandal's Diploma In Pharmacy Institute, At Post Gevrai Tanda, Paithan Road, Aurangabad.",
Udgir,"Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology, Somnathpur",
Hingoli,"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.",
Osmanabad,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",
Nilanga,"Maharashtra College of Pharmacy, Nilanga",
Aurangabad,"Maulana Azad Education Trust's Y.B.Chavan College of Pharmacy, Aurangabad",
Nanded,"Sharda Bhavan Education Society's Nanded Pharmacy College, Nanded",
Aurangabad,"Bhagwan College of Pharmacy, Aurangabad",
Osmanabad,Adarsh Shikshan Prasarak Mandal's K.T. Patil College of Pharmacy osmanabad,
Ausa,"Vishveshwar Shikshan Prasarak Mandal ,Shivlingeshwar College of Pharmacy, Almala, , Dist. Latur",
Aurangabad,"Yash Institute of Pharmacy, Aurangabad",
Paithan,"Shri. Dhaneshwari Manav Vikas Mandal's Dr. Vedprakash Patil Pharmacy, College, Gevrai, Aurangabad.",
Parbhani,"Shree Durgramata Babuddeshiya Krida & Shaikshanik Sanstha's Durgamata Institute of Pharmacy, Dharmapuri, Parbhani",
Latur,"Dayanand Education Society's Dayanand College of Pharmacy, Latur",
Nanded,"Sahyog Sewabhavi Sanstha's Indira College of Pharmacy, Nanded",
Jalna,"Ramchandra Sanskritik Krida Mandal's R.D. Bhakt College of Pharmacy, Jalna",
Aurangabad,"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad",
Nanded,"Javaharlal Nehru Institute of Education Science & Technological Research, Mahatma Gandhi College of Architecture, Vasara",
Paithan,"Shree Sai Samajik Vikas Sanstha, Nath Polytechnic, Paithan, Dist. Aurangabad",
Vaijapur,"Gramodyogik Shikshan Mandal's Marathwada Institute Of Technology, Rotegaon, Vaijapur, Dist. Aurangabad.",
Aurangabad,"Hi-Tech Polytechnic, Aurangabad",
Aurangabad,"Shree Yash Pratishthan, Shree Yash Polytechnic, Satara Tanda, Aurangabad.",
Aurangabad,"Shree Bharavnath Nisarga Mandal, Diploma in Engineering and Technology, Gevrai Tanda, Aurangabad",
Aurangabad,"Shiva Trust's Sharadchanraji Pawar Polytechnic College, Aurangabad.",
Aurangabad,"Chatrapati Shahu Maharaj Shikshan Sanstha, C.S.M.S. Sansthas College Of Polytechnic, Kanchanwadi, Aurangabad",
Gangapur,"Sai Shikshan Sanstha, Ambarwadikars Institute Of Technology, Waluj, Ta. Gangapur, Aurangabad",
Kannad,"Vinayakrao Patil Shikshan Prasarak Mandal, Institute Of Engineering & Technology Kannad",
Ashti,"Gangai Charitable Trust, Adarsh Polytechnic,Tal. Asthi, Dist. Beed",
Kaij,"Shri Chhatrapati Shivaji Shikshan Sanstha, Vasant Polytechnic College, Beed",
Ambejogai,"Mahatma Basaveshwar Education Society's T.B.Girwalkar Polytechnic, Ambejogai, Dist.Beed",
Bid,"Marathwada Shikshan Prasarak Mandal, Yashwantrao Chavan Institute Of Polytechnic, Beed",
Bid,"Aditya Bahuddeshiya Sanstha, Aditya Polytechnic, Beed",
Basmath,"Shree Dhaneshwari Manav Vikas Mandal Diploma In Engineering And Technology Institute, Hatta, Tal. Basmat, Hingoli",
Jalna,"Dharati Janseva Pratishthan, Diploma In Engineering & Technology Institute, Jalna",
Udgir,"Gunai Shikshan Prasarak Mandal, Rajiv Gandhi Polytechnic, Udgir, Dist Latur",
Ausa,"Hindustani Education Society, N.B.S. Institute Of Polytechnic, Ausa, Latur",
Ausa,"Vishweshwarayya Abhiyantriki Padvika Mahavidyalay, Almala, Ausa, Latur",
Ahmadpur,"Shri Ganesh Shikshan Prasarak Mandal, Balaghat Polytechnic College, Rudha, Latur",
Naigaon (Khairgaon),"Education Society, Kalawatibai College Of Engineering & Technology (Polytechnic), Naigaon, Nanded",
Nanded,"Sahayog Sevabhai Sanstha, Indira Institute Of Technology(Polytechnic), Nanded.",
Nanded,"Matoshri Pratishthan, Vishwabharati Polytechnic Institute, Vishnupuri, Nanded.",
Kinwat,"Matoshree Kamaltai Thamke BSS Gokunda's Rajarshee Shahu Maharaj Polytechnic,Kinwat,Nanded.",
Sailu,"Shriram Pratishthan, Apurva Polytechnic, Rawalgaon, Parbhani.",
Parbhani,"Nutan Vidya Samiti, Sitaramji Mundada Marathwada Polytechnic, Parbhani.",
Aurangabad,"Sayli Charitable Trust's College Of Pharmacy, Mitmita, Aurangabad.",
Aurangabad,"Bhagwan Shikshan Prasarak Mandal's Dr. Y.S. Khedkar College Of Pharmacy, CIDCO, Aurangabad",
Ashti,"Anand Charitable sanstha's College of Pharmacy, Ashti, Dist. Beed",
Bid,"Adarsh Shikshan Sansta's Colllege of Pharmacy, Beed",
Ashti,"Shri Amolak Jain Vidya Prasarak Mandal's Pharmacy College, Kada, Ashti, Beed",
Patoda,"Navgan Shikshan Sanstha's P.V.P. College Of Pharmacy, Patoda, Beed",
Ambejogai,"Shree Balaji Shikshan Prasarak's Institute of Pharmacy, Ambejogai, Dist. Beed.",
Ambad,"Diamond Education Society's Shree D.Pharmacy College, Panshendra, Jalna",
Ambad,"Ramchandra Sansrutik Krida Mandal's C.P.College of Pharmacy, Jalna",
Jalna,"Jalana Education Society's Institute Of Pharmacy,Jalna",
Latur,"Mahatma Basveshwar Education Soc., College of Pharmacy, Barshi Road, Latur",
Ausa,"Shri Vishweshwar Shikshan Prasarak Mandal's Swa.Dagdojirao Deshmukh D.Pharmacy College, Ausa,(Almala) Dist. Latur",
Nanded,"Sahayog Sevabhavi Sanstha's College of Pharmacy, Vishnupuri, Nanded.",
Mudkhed,"Jankalyan Vikas Mandal's Lilawati Satish Avhad D. Pharmacy College, Hokarna Tanda, Khed, Nanded",
Naigaon (Khairgaon),"Education Society Naigaon Diploma in Pharmacy, Nanded.",
Osmanabad,"Shree Bhairavnath Nisarga Mandal's D. Pharmacy College, Aalani",
Parbhani,"Shri Durgamata Bhu. Krida & Shikshan Sanstha's Uttamrao Deshmukh Institute Of Pharmacy(Dharmapuri), Parbhani",
Parbhani,"Vivekvardhini Sevabhavi Sanstha's Diploma Pharmacy College, Pingali",
Aurangabad,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",
Ambejogai,"Shri Balaji Shikshan Prasarak Mamdal's , B.Pharmacy College, Ambajogai",
Parbhani,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",
Latur,"Channabasweshwar Pharmacy College ( Degree), Latur",
Latur,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",
Ahmadpur,"Balaghat Engineering College,Ruddha, Ahmedpur",
Aurangabad,"Foster Development School of Management, Aurangabad",
Aurangabad,"Shri Sai Institute of Management & Research, Aurangabad",
Latur,"Yogwashistha Shikshan Prasarak Mandal's Polytechnic,Babhalgaon Dist Latur",
Kaij,"Renukamata KrishiVikas Pratisthan's Swami Vivekanand Polytechnic, Jola, Post Devgaon Tq Kaij, Dist Beed",
Kalamb,"Ransamrat Kreeda Mandal's Rajarshi Shahu Institue of Technology,Parli Road Kallam, Dist. Osmanabad",
Ausa,"Vetaleshwar Shikshan Sanstha's Rajiv Gandhi Instiute of Polytechnic, Hasegaon Tal. Ausa Dist Latur",
Jalna,"Ramchandra Sanskrutik Krida Mandal's Shri R D Bhakta Polytechnic, Daregaon Tal. & Dist Jalna",
Bid,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",
Ausa,"Phoenix Foundation Sanstha's Phoenix Institute Of Technology,Lodga, Tal. Asua,Dist. Latur",
Kalamb,"Kiran Bahuuddeshiya Shikshan Sanstha's R R Polytechnic, Hasegaon (K), Tal. Kalamb, Dist Osmanabad",
Latur,"Shri Govindaprabhu Gramin & Shahari Vikas Sevabhavi Sanstha's MDA Institute of Polytechnic Kolpa, Latur",
Aurangabad,"Ambarwadikar Institute of Hotel Management & Catering Technology Polytechnic, Deolai, Aurangabad",
Aurangabad,"People Education Society's P.E.S. Polytechnic, Nagsenvan, Aurangabad",
Parbhani,"Kai Haribhai Varpudkar Gramin Mahila Sevabhavi Sanstha's LATE. HARIBAI WARPUDKAR POLYTECHNIC, PARBHANI",
Mahoor,"Baliram Patil Mission's S.N.Rai Institute of Engg. & Technology Shrikshtra , Mahur Dist Nanded.",
Latur,"Vilasrao Deshmukh Foundations School of Polytechnic,Latur",
Aurangabad,"MGMs Polytechnic , Aurangabad",
Ashti,"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed",
Udgir,"Mauli Shikhan Prasarak Mandal's Lal Bahadur Shastri Polytechnic, Udgir Dist Latur",
Osmanabad,"Shri Sai Janavikas Pratishtan's Sow.Shardadevi Pandit Polytechnic institute,Alani, Osmanabad",
Gangakhed,"Ahilyadevi Holkar Bahuuddeshiya Sevabhavi Sanstha's Prerna Polytechnic College, Mauli,Gangakhed, Parbhani",
Nanded,"Sevadas Shikshan Prasarak Mandal's Vasantrao Naik Instiute of Technology, Vasarni, Nanded",
Aurangabad,"Shri Sai Institute of Technology(Polytechnic),Aurangabad",
Nanded,"Gramin Shikshan Prasarak Mandal,Gramin Polytechnic, Vishnupuri, Nanded",
Parbhani,"Gramin Polytechnic, Parbhani",
Nilanga,"Shardopasak Shikshan Sanstha's Bharat Ratna Lata Mangeshkar College of Engineering & Technology, Aurad Shahajani, Tal.Ni",
Aurangabad,"Oyster Institute of Pharmacy, Aurangabad.",
Phulambri,"Sai Institute of Engineering & Technology, Bilda, Aurangabad.",
Aurangabad,"International Centre of Excellence in Engineering & Management, Aurangabad.",
Parbhani,"Shri. Shivaji Polytechnic Institute, Wasmat road, Parbhani.",
